1,Sharp-Dressed Man,ZZ Top
2,Legs,ZZ Top
3,Mustang Sally,Wilson Pickett
4,Superman's Song,Crash Test Dummies
5,Rock On,David Essex
6,Radar Love,Golden Earring
7,Heart of Glass,Blondie
8,White Rabbit,Jefferson Airplane
9,Somebody to Love,Jefferson Airplane
10,Layla,Derek and the Dominoes
11,Roadhouse Blues,Doors
12,House of the Rising Sun,Animals
13,Sweet Emotion,Aerosmith
14,Dude (Looks Like a Lady),Aerosmith
15,Dancing in the Dark,Bruce Springsteen
16,Born to Run,Bruce Springsteen
17,Thunder Road,Bruce Springsteen
18,Every Breath You Take,Police
19,Heart of Saturday Night,Tom Waits
20,Hot for Teacher,Van Halen
21,Won't Get Fooled Again,Who
22,Hotel California (cover the Eagles),Gipsy Kings
23,Give Me One Reason,Tracy Chapman
24,Down on the Corner,CCR
25,Lyin' Eyes,Eagles
26,Life in the Fast Lane,Eagles
27,Skateaway (Roller Girl),Dire Straits
28,Mary Jane's Last Dance,Tom Petty
29,Me 'n Bobby McGee,Janis Joplin
30,Black Water,Doobie Brothers
31,I Love Rock 'n Roll,Joan Jett
32,Jack and Diane,John Mellencamp
33,The Wall (Part 2),Pink Floyd
34,Money,Pink Floyd
35,Piano Man,Billy Joel
36,After Midnight,Eric Clapton
37,Lay Down Sally,Eric Clapton
38,You Shook Me (All Night Long),AC/DC
39,Dirty Deeds Done Dirt Cheap,AC/DC
40,Long Cool Woman,Hollies
41,Like a Rolling Stone,Bob Dylan
42,Knockin' on Heaven's Door,Bob Dylan
43,Subterranean Homesick Blues,Bob Dylan
44,Satisfaction,Rolling Stones
45,Brown Sugar,Rolling Stones
46,Sympathy for the Devil,Rolling Stones
47,Anarchy in the UK,Sex Pistols
48,Sugar Magnolia,Grateful Dead
49,Slow Hand,Pointer Sisters
50,Sweet Dreams,Eurythmics
51,Jailhouse Rock,Elvis Presley
52,Ziggy Stardust,David Bowie
53,Night Moves,Bob Seger
54,Bye-Bye-Love,Everly Brothers
55,Purple Haze,Jimi Hendrix
56,Lola,Kinks
57,Tender is the Night,Jackson Browne
58,Louie Louie,The Kingsmen
59,Bad to the Bone,George Thorogood
60,Turn the Page (covers Bob Seger),Metallica
61,Sweet Home Alabama,Lynryd Skynyrd
62,We Will Rock You,Queen
63,Ramblin' Man,Allman Brothers
64,Rock 'n Roll,Led Zeppelin
65,What's Love Got to Do With It,Tina Turner
66,Born to Be Wild,Steppenwolf
67,With or Without You,U2
68,Paranoid,Black Sabbath
69,Blue Morning Blue,Foreigner
70,White Wedding,Billy Idol
71,Sweet Child o' Mine,Guns 'n Roses
72,Paradise City,Guns 'n Roses
73,Knockin' on Heaven's Door (covers Dylan),Guns 'n Roses *
74,Walk on the Wild Side,Lou Reed
75,Feel Like Makin' Love,Bad Company
76,Rock of Ages,Def Leppard
77,Brown Eyed Girl,Van Morrison
78,Devil With a Blue Dress,Mitch Ryder and the Detroit Wheels
79,Respect,Aretha Franklin
80,I'm in the Mood,John Lee Hooker & Bonnie Raitt
81,I Got You (I Feel Good),James Brown
82,Unchained Melody,Righteous Brothers
83,Little Red Corvette,Prince
84,Roll Over Beethoven,Chuck Berry
85,Mr. Tamborine Man (covers Dylan),Byrds
86,Ohio,CSNY
87,Peggy Sue,Buddy Holly
88,Great Balls of Fire,Jerry Lee Lewis
89,Pretty Woman,Roy Orbison
90,Runaway,Del Shannon
91,Walk This Way,Aerosmith / Run-DMC
92,(Sittin' on the) Dock of the Bay,Otis Redding
93,Smells like Teen Spirit,Nirvana
94,Still Crazy After All These Years,Paul Simon
95,Who Do You Love?,Bo Diddley
96,One Toke Over the Line,Brewer and Shipley
97,I Wanna Be Sedated,Ramones
98,Should I Stay or Should I Go,Clash
99,Burning Down the House,Talking Heads
100,Waltz 2 / Jazz Suite,Dimitri Shostakovich
